clients,cache_mode,update_body_bytes,artifact_bytes,manifest_ms,read_ms,hash_ms,parse_ms,aggregate_ms,checkpoint_ms,detection_ms,challenge_package_ms,verification_ms,total_ms,cpu_ms,local_throughput_mib_s,verdict,challenge_hash,repetition
100,warm,10485760,1048598300,0.170819,131.981319,637.234597,179.220253,212.169986,15.470775,0.000644,0.0,1176.2483929999999,1179.271038,1178.944652,847.9995138634583,UPHELD,,16
100,warm,10485760,1048598300,0.168548,126.323408,591.966481,165.982782,205.445734,17.148237,0.002238,0.0868,1107.0374280000003,1109.923192,1109.788764,900.9824050394794,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,17
100,warm,10485760,1048598300,0.185601,129.074077,618.311892,172.314047,208.117791,16.427695,0.001482,0.0,1144.4325849999998,1147.359342,1147.295035,871.5850652282012,UPHELD,,18
100,warm,10485760,1048598300,0.168216,133.674105,641.152736,181.379886,219.911124,19.805943,0.000851,0.029299,1196.092861,1198.993275,1198.987733,834.0507722507916,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,19
100,warm,10485760,1048598300,0.21771,154.303708,744.474467,222.56596,252.127109,18.301558,0.000796,0.0,1391.991308,1395.807948,1394.669285,716.4461761162402,UPHELD,,20
100,warm,10485760,1048598300,0.182506,144.568531,689.045629,204.236921,240.585732,20.00336,0.000611,0.024528,1298.62329,1302.089197,1301.79751,768.0128744185072,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,21
100,warm,10485760,1048598300,0.246701,148.090298,699.797035,205.852562,244.089559,18.877974,0.000648,0.0,1316.954777,1320.403016,1320.444396,757.3606352147683,UPHELD,,22
100,warm,10485760,1048598300,0.20323,148.65411,696.572949,206.885199,243.834662,20.016225,0.000533,0.021562,1316.1669080000001,1319.645363,1319.688698,757.7954615502679,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,23
100,warm,10485760,1048598300,0.230429,147.567036,698.832188,205.533445,248.465352,19.029656,0.000506,0.0,1319.658612,1322.834595,1322.911033,755.968486700528,UPHELD,,24
100,warm,10485760,1048598300,0.197653,145.711643,696.311897,206.646036,249.111286,18.437539,0.000662,0.020015,1316.416716,1319.909439,1319.906251,757.643848425616,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,25
100,warm,10485760,1048598300,0.228228,148.107149,695.066858,206.546882,247.363727,19.183796,0.001769,0.0,1316.498409,1319.87258,1319.881271,757.6650065245358,UPHELD,,26
100,warm,10485760,1048598300,0.468803,147.883726,724.428204,216.803633,253.327734,19.507409,0.000647,0.025464,1362.4201560000001,1366.077374,1365.848619,732.0385257601491,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,27
100,warm,10485760,1048598300,0.227971,154.912503,720.858663,215.546437,251.133722,18.848724,0.000701,0.0,1361.528721,1365.235758,1364.662884,732.4897997121284,UPHELD,,28
100,warm,10485760,1048598300,0.234374,148.315607,694.053297,203.511085,248.101918,18.425718,0.000573,0.023732,1312.642572,1315.862403,1315.856115,759.974040338362,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,29
100,fadvise,10485760,1048598300,0.196585,683.846436,699.537101,211.401379,244.071011,19.071747,0.000698,0.0,1858.124957,1861.645572,1647.813575,537.170598946455,UPHELD,,0
100,fadvise,10485760,1048598300,0.210718,683.173743,686.745569,206.392672,239.963243,17.861032,0.000657,0.021705,1834.3476340000002,1838.003219,1620.917218,544.0802587284564,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,1
100,fadvise,10485760,1048598300,0.327795,690.92564,684.386823,206.301045,244.049749,19.085367,0.000782,0.0,1845.0772009999998,1848.915067,1632.316735,540.86922908788,UPHELD,,2
100,fadvise,10485760,1048598300,0.194703,676.617114,681.863117,202.602525,242.431795,16.727614,0.000599,0.020151,1820.4374669999997,1824.050761,1610.281987,548.2420162413757,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,3
100,fadvise,10485760,1048598300,0.252769,694.516746,683.206379,208.381981,236.897172,18.69888,0.0007,0.0,1841.9546269999998,1845.621643,1626.11643,541.834384490503,UPHELD,,4
100,fadvise,10485760,1048598300,0.220954,684.239999,683.539848,208.305133,236.576036,18.441024,0.000861,0.029138,1831.3238549999999,1835.114207,1618.97989,544.9368018201255,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,5
100,fadvise,10485760,1048598300,0.209216,686.273674,681.659342,200.60698,231.120113,18.046244,0.000702,0.0,1817.916271,1821.426555,1601.807183,549.0318916192895,UPHELD,,6
100,fadvise,10485760,1048598300,0.267485,675.065132,679.59935,205.245466,234.568269,19.951001,0.000543,0.02141,1814.6972460000002,1818.031878,1601.648544,550.0570584259336,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,7
100,fadvise,10485760,1048598300,0.189802,690.478241,676.052481,201.85054,240.678945,16.64821,0.000537,0.0,1825.898756,1829.594588,1616.427284,546.5807963667063,UPHELD,,8
100,fadvise,10485760,1048598300,0.174626,685.108915,681.456386,210.674536,237.154058,17.994281,0.000935,0.022737,1832.563737,1836.235903,1618.41621,544.6039178862826,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,9
100,fadvise,10485760,1048598300,0.204587,693.103903,683.664812,204.121238,240.043268,17.524562,0.001109,0.0,1838.663479,1842.370494,1621.528577,542.7905354509307,UPHELD,,10
100,fadvise,10485760,1048598300,0.254671,712.812903,677.815056,215.176213,247.852289,19.303806,0.000662,0.021809,1873.2155999999998,1877.739329,1658.524189,532.5666089498283,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,11
100,fadvise,10485760,1048598300,0.230573,682.949325,668.056321,203.351466,235.530134,18.735076,0.000717,0.0,1808.8536119999999,1812.609062,1602.131233,551.7026742842445,UPHELD,,12
100,fadvise,10485760,1048598300,0.24126,698.944156,676.978638,207.978847,239.55664,19.644809,0.001029,0.03068,1843.3453789999999,1847.299663,1628.178547,541.3422017915757,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,13
100,fadvise,10485760,1048598300,0.191268,700.308402,699.600837,208.303253,244.114525,18.365942,0.000936,0.0,1870.885163,1874.798014,1654.075288,533.40213690735,UPHELD,,14
100,fadvise,10485760,1048598300,0.236571,710.583385,710.513693,213.822071,244.859815,17.224766,0.000673,0.023392,1897.240974,1901.341494,1676.18767,525.9556319014705,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,15
100,fadvise,10485760,1048598300,0.194994,692.315329,684.049121,203.411187,236.480527,19.767798,0.000759,0.0,1836.219715,1839.958912,1625.321225,543.5019556226133,UPHELD,,16
100,fadvise,10485760,1048598300,0.209708,701.553798,692.471207,209.635998,239.013264,19.119423,0.000618,0.022473,1862.0040160000003,1866.068269,1640.545735,535.8974714645104,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,17
100,fadvise,10485760,1048598300,0.187587,701.50172,692.0471,206.129673,242.406798,17.478814,0.000752,0.0,1859.752444,1863.434377,1638.7232,536.6549416927795,UPHELD,,18
100,fadvise,10485760,1048598300,0.19769,724.535843,704.612696,216.268894,250.051566,17.932265,0.000861,0.021792,1913.5998149999998,1917.682306,1689.590423,521.4738978445035,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,19
