clients,cache_mode,update_body_bytes,artifact_bytes,watchers,dispute_rate,bandwidth_mbps,projected_transfer_ms_per_watcher,measured_local_verification_ms_per_watcher,challenge_package_ms_per_fault,system_watcher_work_ms_per_round
100,warm,10485760,1048598300,2,0.0,1000.0,8388.7864,1186.170627,0.021047,19149.914054
100,warm,10485760,1048598300,2,0.01,1000.0,8388.7864,1186.170627,0.021047,19149.91426447
100,warm,10485760,1048598300,2,0.05,1000.0,8388.7864,1186.170627,0.021047,19149.91510635
100,warm,10485760,1048598300,2,0.1,1000.0,8388.7864,1186.170627,0.021047,19149.9161587
100,warm,10485760,1048598300,3,0.0,1000.0,8388.7864,1186.170627,0.021047,28724.871081
100,warm,10485760,1048598300,3,0.01,1000.0,8388.7864,1186.170627,0.021047,28724.87129147
100,warm,10485760,1048598300,3,0.05,1000.0,8388.7864,1186.170627,0.021047,28724.87213335
100,warm,10485760,1048598300,3,0.1,1000.0,8388.7864,1186.170627,0.021047,28724.873185700002
100,warm,10485760,1048598300,1,0.0,10000.0,838.87864,1186.170627,0.021047,2025.0492669999999
100,warm,10485760,1048598300,1,0.01,10000.0,838.87864,1186.170627,0.021047,2025.0494774699998
100,warm,10485760,1048598300,1,0.05,10000.0,838.87864,1186.170627,0.021047,2025.0503193499999
100,warm,10485760,1048598300,1,0.1,10000.0,838.87864,1186.170627,0.021047,2025.0513717
100,warm,10485760,1048598300,2,0.0,10000.0,838.87864,1186.170627,0.021047,4050.0985339999997
100,warm,10485760,1048598300,2,0.01,10000.0,838.87864,1186.170627,0.021047,4050.09874447
100,warm,10485760,1048598300,2,0.05,10000.0,838.87864,1186.170627,0.021047,4050.0995863499998
100,warm,10485760,1048598300,2,0.1,10000.0,838.87864,1186.170627,0.021047,4050.1006386999998
100,warm,10485760,1048598300,3,0.0,10000.0,838.87864,1186.170627,0.021047,6075.147800999999
100,warm,10485760,1048598300,3,0.01,10000.0,838.87864,1186.170627,0.021047,6075.148011469999
100,warm,10485760,1048598300,3,0.05,10000.0,838.87864,1186.170627,0.021047,6075.148853349999
100,warm,10485760,1048598300,3,0.1,10000.0,838.87864,1186.170627,0.021047,6075.149905699999
